"northing","easting"
155209.127587378,593382.071113922
147219.841312077,597858.242296875
151579.644517414,591409.166609868
153160.217892267,591228.20170686
155436.432968743,587768.23640386
152042.898665741,589223.763268348
150257.198056933,595409.143215727
157258.106025402,597206.867225841
150776.419716515,592273.967935424
149988.313439954,591703.95213984
151701.1856406,599301.741365716
142176.134562865,586401.638847217
142184.015140813,582646.23622898
147955.953080766,582346.396167483
142931.582278572,583403.899300098
148971.851590108,590411.946744192
146170.841170438,584903.525619172
144366.54292997,580055.785468221
145766.436218284,582014.821450692
142555.2419913,583926.620924473
147428.839323483,583273.317832313
140898.482976202,584058.213312924
141693.991008569,585996.644168086
146278.313245531,582724.437271245
141755.666427314,588154.595461581
145573.471048288,584532.999746595
141620.59556935,584347.362104524
146449.476970199,583319.012910191
152435.240230989,589073.17640651
151420.125078596,592404.731963761
130931.369231734,583814.372297842
140097.36926984,581543.575884495
127782.710713577,573759.321811218
132728.479411546,582479.369233493
128235.951381478,584598.791115817
128470.340845641,577207.44344797
131546.20658122,578484.323206078
129634.672864228,585824.665768929
130643.286926579,574618.996517938
134525.097301975,581700.865701865
130033.666218352,575274.353530724
136882.416431699,583016.499018017
128419.833182078,583191.582272388
131109.494548358,584320.927361924
137275.332707942,581108.067538321
129640.416680276,587129.574727826
132050.626034476,581446.292049997
135875.627170131,574754.143449944
134885.84555611,586542.491599638
139831.030993722,587162.725817785
136545.83345307,585766.61059726
135983.137086872,585970.918221772
141801.148903444,589498.693064544
136909.504807927,581215.183223188
141385.131055899,583041.091599576
142843.072833493,588800.789406113
133292.246692907,578701.437040512
134331.481664982,588173.762035333
132417.933999654,581343.377369177
136581.398914792,581599.034359492
134452.876879741,582105.378866568
135192.445305195,581933.188103251
134414.654717688,587854.101350158
141677.104246318,580246.561018489
135528.266812656,587298.126182687
141085.381230433,582031.64981408
141298.825667612,580894.734669197
141024.257814046,587591.916549671
140198.502112739,581068.658320699
131559.717042372,585807.879378833
139568.448114954,589767.69216815
132573.205427621,583648.911061149
141714.929381404,580833.50784352
131314.639046136,573922.574111354
140554.96743964,583490.066758171
135949.101029895,573659.94467549
135011.693649705,577066.145481914
134539.296314307,576365.28874319
140265.405041818,579666.227058414
131917.832425423,576805.762601271
141095.868277829,584540.087399073
137287.832391933,576105.290555824
135234.567628987,582942.379937507
132551.588612609,579669.636682421
137486.698116362,577571.951924358
135060.026031416,580240.097021963
134433.170295041,574225.684706494
134624.741539638,576193.942757715
137330.110344104,576664.643271547
136115.671411809,574429.654237442
130873.406436987,575338.895034563
132920.120586362,580728.580649663
144199.089419283,577393.741854951
141722.877762862,575919.906294752
140129.506404907,575325.546525132
134878.892591126,580936.966545809
140032.341750152,571505.23248259
